accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0.00,-0.99,0.28,6.85,4.34,1.92
0.01,-1.00,0.29,5.56,3.13,1.77
0.02,-1.00,0.30,4.26,3.01,1.08
0.03,-1.00,0.30,2.78,1.82,-0.38
0.03,-0.99,0.30,0.05,1.62,-1.69
0.04,-1.00,0.31,-1.07,3.44,-2.31
0.03,-0.99,0.30,-1.98,6.40,-4.31
0.03,-1.00,0.31,-2.27,8.69,-6.14
0.03,-0.99,0.30,-2.24,9.31,-7.27
0.05,-0.99,0.29,-1.80,7.04,-8.40
0.03,-0.99,0.29,-3.05,5.01,-8.99
0.04,-0.98,0.29,-4.32,5.16,-9.59
0.04,-0.96,0.29,-4.99,6.24,-9.04
0.04,-0.97,0.29,-5.88,7.88,-8.21
0.05,-0.95,0.27,-6.64,9.31,-7.44
0.06,-0.95,0.27,-7.15,9.60,-7.07
0.07,-0.95,0.27,-7.21,8.89,-6.96
0.07,-0.94,0.26,-6.98,7.62,-7.02
0.07,-0.94,0.27,-6.87,6.43,-7.13
0.07,-0.95,0.25,-6.50,7.01,-7.05
0.08,-0.95,0.24,-6.15,7.48,-7.22
0.09,-0.96,0.25,-5.59,6.60,-6.67
0.08,-0.96,0.25,-5.34,3.45,-5.85
0.07,-0.96,0.24,-6.17,2.29,-4.63
0.06,-0.96,0.26,-7.47,5.25,-2.41
0.06,-0.95,0.26,-8.87,9.27,-0.32
0.08,-0.95,0.25,-10.20,12.69,0.60
0.09,-0.95,0.25,-9.85,13.21,0.34
0.09,-0.96,0.25,-8.93,12.03,0.17
0.09,-0.96,0.25,-7.16,8.52,-0.40
0.10,-0.97,0.25,-5.07,4.52,-1.01
0.10,-0.98,0.25,-3.76,1.65,-1.37
0.09,-0.98,0.24,-3.02,0.20,-0.96
0.08,-0.98,0.23,-2.92,-0.47,-0.20
0.07,-0.97,0.24,-3.40,-0.29,0.78
0.06,-0.98,0.23,-4.26,0.66,1.98
0.05,-0.98,0.23,-3.69,1.56,2.87
0.04,-0.99,0.22,-2.85,1.56,3.71
0.04,-0.99,0.22,-2.31,-0.41,4.81
0.03,-0.99,0.22,-1.77,-2.58,5.82
0.02,-0.99,0.22,-1.91,-3.94,6.14
0.01,-0.99,0.22,-2.44,-3.25,6.47
0.00,-0.98,0.22,-3.05,-1.47,6.44
0.01,-0.97,0.20,-3.76,0.85,6.26
0.01,-0.97,0.21,-4.17,4.06,5.60
0.02,-0.97,0.21,-3.69,6.05,4.37
0.03,-0.98,0.21,-2.15,5.77,2.81
0.03,-1.00,0.21,-0.64,3.15,1.97
0.02,-1.00,0.22,0.26,0.31,1.30
0.01,-1.00,0.22,-0.69,-1.57,1.18
0.01,-0.99,0.22,-2.05,-1.63,2.26
0.01,-0.99,0.22,-2.82,1.10,3.36
0.03,-0.97,0.22,-3.85,6.29,3.54
0.05,-0.97,0.22,-3.94,10.41,1.77
0.07,-0.97,0.23,-2.08,10.05,-1.25
0.07,-0.99,0.22,1.07,5.68,-3.98
0.06,-0.99,0.23,3.79,0.70,-4.85
0.04,-1.00,0.22,4.21,-4.00,-3.94
0.04,-1.00,0.22,2.90,-4.12,-1.45
0.04,-0.99,0.23,-0.29,-0.79,1.24
0.05,-0.98,0.24,-3.77,3.92,3.07
0.07,-0.98,0.24,-5.54,7.62,3.05
0.06,-0.97,0.25,-5.25,8.40,1.97
0.06,-0.97,0.24,-3.53,5.18,0.64
0.06,-0.98,0.25,-1.24,1.33,-0.14
0.06,-0.98,0.24,0.21,-1.13,-0.12
0.05,-0.98,0.25,0.02,-2.40,0.56
0.04,-0.99,0.25,-1.10,-1.10,1.25
0.04,-0.99,0.25,-2.66,1.33,1.83
0.03,-0.98,0.26,-3.76,3.08,2.63
0.03,-0.98,0.24,-4.52,3.59,3.13
0.04,-0.98,0.25,-3.82,2.17,3.18
0.04,-0.97,0.25,-2.92,-0.69,2.58
0.03,-0.97,0.25,-1.42,-2.56,1.63
0.02,-0.97,0.26,-0.50,-3.02,1.31
0.02,-0.97,0.25,-0.81,-2.09,1.98
0.01,-0.97,0.26,-1.24,-0.31,2.50
0.01,-0.97,0.27,-1.33,1.15,2.61
0.02,-0.98,0.26,-0.47,2.00,2.87
0.03,-0.99,0.27,0.14,1.05,2.31
0.04,-0.98,0.27,0.61,-1.37,1.65
0.04,-0.98,0.25,0.75,-3.62,0.82
0.05,-0.98,0.27,0.26,-4.08,0.09
0.04,-0.98,0.27,-0.11,-3.34,-0.50
0.04,-0.98,0.27,-1.19,-1.47,-0.95
0.04,-0.98,0.28,-2.53,0.38,-1.01
0.04,-0.97,0.27,-2.93,1.66,-0.95
0.05,-0.97,0.27,-2.64,2.75,-0.67
0.06,-0.97,0.27,-2.75,2.49,-0.60
0.07,-0.96,0.26,-2.66,0.73,-1.50
0.08,-0.96,0.25,-1.45,-3.19,-2.76
0.07,-0.97,0.25,0.32,-8.61,-3.77
0.06,-0.97,0.25,0.66,-10.20,-3.37
0.05,-0.97,0.25,-1.40,-5.04,-2.44
0.05,-0.97,0.26,-1.60,1.04,-1.37
0.04,-0.98,0.25,-2.29,4.23,-0.44
0.04,-0.98,0.24,-3.24,4.40,0.66
0.04,-0.98,0.25,-2.46,2.12,1.28
0.04,-0.97,0.24,-1.85,-1.68,1.77
0.04,-0.97,0.25,-1.42,-4.09,1.98
0.04,-0.97,0.25,-1.47,-3.34,1.33
0.04,-0.96,0.25,-1.39,0.03,0.14
0.04,-0.96,0.25,-1.31,2.75,-0.87
0.04,-0.96,0.24,-1.33,3.36,-1.48
0.03,-0.96,0.25,-1.53,2.37,-1.22
0.03,-0.97,0.24,-1.33,1.08,-0.64
0.03,-0.97,0.25,-1.59,1.18,0.00
0.02,-0.97,0.25,-1.69,2.05,0.70
0.03,-0.97,0.24,-2.05,3.82,1.86
0.02,-0.97,0.25,-2.61,5.56,2.35
0.03,-0.97,0.25,-2.18,5.89,2.46
0.04,-0.97,0.25,-1.98,5.97,2.58
0.04,-0.98,0.26,-2.24,6.08,2.53
0.04,-0.98,0.25,-2.41,6.12,2.85
0.04,-0.98,0.25,-2.75,6.98,2.66
0.05,-0.99,0.26,-2.96,6.95,1.98
0.05,-0.99,0.26,-2.06,4.47,0.55
0.06,-1.00,0.26,-1.85,-1.11,-0.63
0.05,-0.99,0.25,-2.17,-3.88,-1.71
0.05,-0.99,0.25,-1.98,-2.23,-2.43
0.04,-1.00,0.25,-2.63,0.79,-2.72
0.05,-0.99,0.25,-2.66,2.58,-3.39
0.05,-1.00,0.24,-1.95,1.42,-3.66
0.04,-0.99,0.24,-1.57,-1.37,-3.34
0.04,-0.98,0.24,-1.59,-3.48,-2.85
0.04,-0.98,0.24,-1.88,-4.03,-2.40
0.04,-0.97,0.25,-2.61,-2.46,-2.08
0.04,-0.97,0.25,-3.02,0.00,-2.08
0.04,-0.97,0.24,-2.90,1.76,-2.47
0.04,-0.97,0.24,-2.43,1.34,-2.47
0.05,-0.97,0.25,-3.76,0.44,-3.33
0.04,-0.99,0.25,-3.89,-3.21,-2.49
0.03,-0.97,0.24,-5.19,4.60,-3.59
0.04,-0.97,0.24,4.63,1.36,-3.98
0.05,-0.98,0.25,2.93,-5.34,-4.06
0.06,-0.98,0.24,8.98,-15.71,-3.16
0.05,-0.98,0.25,18.40,-23.59,-5.21
0.05,-0.96,0.26,23.40,-24.15,-7.04
0.06,-0.96,0.27,27.60,-19.11,-8.27
0.06,-0.96,0.28,22.49,-9.85,-9.48
0.07,-0.97,0.31,11.44,-0.03,-9.74
0.08,-0.99,0.28,0.41,6.69,-6.78
0.07,-0.97,0.29,-8.61,8.61,-2.52
0.06,-0.98,0.28,-13.05,9.94,-1.42
0.06,-0.98,0.28,-11.18,8.50,-0.75
0.06,-0.99,0.27,-7.71,4.50,-1.18
0.07,-0.99,0.26,-5.54,-0.08,-2.31
0.07,-0.99,0.26,-5.66,-3.48,-2.87
0.06,-0.98,0.26,-7.79,-3.63,-3.77
0.06,-0.98,0.27,-10.09,0.11,-3.48
0.07,-0.99,0.28,-14.20,7.36,-3.62
0.07,-0.99,0.28,-17.98,13.98,-2.93
0.06,-0.98,0.26,-19.27,16.31,-2.58
0.06,-0.98,0.26,-18.61,14.69,-2.52
0.07,-0.99,0.25,-16.66,9.79,-2.40
0.06,-0.98,0.23,-14.35,4.43,-2.00
0.07,-0.98,0.26,-12.93,0.17,-2.34
0.07,-0.97,0.24,-11.02,0.35,-3.37
0.07,-0.97,0.24,-8.23,0.87,-4.15
0.06,-0.97,0.23,-8.40,1.47,-4.12
0.06,-0.98,0.23,-5.97,0.47,-3.56
0.07,-0.96,0.22,-3.80,-0.76,-3.54
0.07,-0.97,0.23,-2.14,-2.72,-3.53
0.06,-0.96,0.23,-1.19,-3.65,-3.48
0.07,-0.95,0.23,-0.02,-3.57,-3.89
0.07,-0.96,0.22,0.50,-2.15,-4.61
0.07,-0.97,0.24,0.18,-0.67,-5.91
0.07,-0.97,0.24,0.40,0.05,-5.50
0.07,-0.96,0.23,1.15,-0.09,-5.11
0.07,-0.97,0.24,2.44,-0.37,-5.02
0.07,-0.97,0.24,3.37,-0.66,-4.38
0.07,-0.98,0.25,3.39,0.47,-4.63
0.07,-0.98,0.23,3.82,1.07,-4.27
0.07,-0.97,0.24,3.62,1.11,-3.89
0.08,-0.98,0.25,4.43,0.79,-3.44
0.08,-0.99,0.26,3.60,1.65,-4.24
0.09,-0.98,0.25,3.08,2.32,-4.38
0.09,-0.98,0.26,2.44,1.36,-5.05
0.09,-0.98,0.25,2.05,-0.72,-4.78
0.10,-0.98,0.25,2.08,-3.19,-4.35
0.09,-0.98,0.25,2.66,-5.86,-2.76
0.09,-0.98,0.24,2.38,-8.14,-2.00
0.09,-0.96,0.25,1.34,-9.66,-2.08
0.09,-0.97,0.25,1.68,-9.40,-2.35
0.09,-0.95,0.24,1.83,-10.34,-3.05
0.08,-0.95,0.26,2.23,-8.76,-2.66
0.08,-0.96,0.25,1.02,-1.98,-2.93
0.08,-0.97,0.27,1.07,4.06,-2.31
0.09,-0.97,0.26,0.75,4.98,-2.24
0.09,-0.99,0.25,-0.35,3.42,-2.02
0.10,-0.98,0.26,-0.90,0.98,-1.80
0.10,-0.98,0.25,-1.82,-0.27,-1.85
0.09,-0.98,0.25,-2.78,-0.23,-1.98
0.10,-0.98,0.26,-4.38,1.07,-2.26
0.09,-0.98,0.25,-6.20,3.74,-2.73
0.09,-0.98,0.25,-6.93,5.98,-2.78
0.10,-0.98,0.25,-8.06,6.75,-2.67
0.10,-0.98,0.24,-8.60,5.45,-2.53
0.09,-0.98,0.23,-9.40,4.53,-2.08
0.09,-0.97,0.24,-9.76,4.75,-1.62
0.09,-0.97,0.23,-9.44,5.65,-1.39
0.10,-0.96,0.23,-9.77,6.52,-1.51
0.10,-0.96,0.23,-9.10,7.02,-1.25
0.11,-0.96,0.22,-7.94,6.70,-1.48
0.11,-0.96,0.21,-6.95,5.82,-1.24
0.10,-0.97,0.21,-5.57,4.49,-1.19
0.09,-0.96,0.22,-4.20,3.02,-0.95
