accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0.21,-0.94,0.28,-2.34,-2.17,0.84
0.20,-0.94,0.28,-2.41,-0.95,0.78
0.21,-0.94,0.28,-2.38,-0.12,0.72
0.21,-0.94,0.28,-2.95,0.21,0.50
0.21,-0.94,0.27,-3.04,0.93,0.40
0.21,-0.95,0.29,-3.39,0.99,0.29
0.21,-0.95,0.27,-3.27,0.43,0.31
0.20,-0.94,0.28,-2.96,-0.47,-0.02
0.21,-0.94,0.28,-2.70,-0.35,0.00
0.22,-0.95,0.28,-2.90,0.49,-0.05
0.22,-0.94,0.28,-2.85,1.30,-0.52
0.22,-0.94,0.28,-3.07,0.87,0.05
0.22,-0.93,0.28,-3.50,0.89,0.61
0.22,-0.94,0.27,-3.80,1.36,0.72
0.22,-0.94,0.27,-3.31,1.85,0.70
0.23,-0.93,0.28,-2.12,1.50,0.75
0.23,-0.94,0.27,-1.25,-0.98,0.96
0.22,-0.94,0.27,-0.70,-4.06,1.37
0.22,-0.94,0.27,-1.33,-2.66,2.12
0.21,-0.93,0.28,-2.27,2.23,3.01
0.21,-0.94,0.28,-2.38,5.51,3.50
0.21,-0.94,0.27,-2.85,6.23,3.82
0.22,-0.95,0.28,-2.50,4.11,3.83
0.21,-0.95,0.29,-2.02,1.66,3.69
0.21,-0.95,0.28,-1.27,0.23,3.59
0.21,-0.95,0.28,-1.62,0.98,2.95
0.21,-0.96,0.28,-1.89,2.21,2.63
0.22,-0.95,0.29,-2.02,4.26,2.00
0.21,-0.95,0.29,-2.06,4.24,1.42
0.21,-0.95,0.28,-2.06,2.35,1.57
0.22,-0.95,0.29,-2.31,0.18,1.39
0.21,-0.95,0.29,-2.24,-0.73,1.33
0.20,-0.95,0.30,-2.82,-0.53,0.92
0.21,-0.96,0.28,-2.70,-0.29,0.85
0.20,-0.95,0.29,-2.56,0.18,0.67
0.20,-0.94,0.27,-2.23,0.24,0.46
0.20,-0.95,0.28,-1.88,-0.20,0.12
0.20,-0.95,0.29,-1.66,-0.64,0.15
0.20,-0.95,0.28,-2.32,-1.05,0.55
0.20,-0.95,0.28,-2.79,0.31,0.63
0.21,-0.96,0.27,-3.02,1.50,0.70
0.21,-0.95,0.28,-2.70,-1.04,0.79
0.21,-0.95,0.28,-2.81,-4.53,0.69
0.20,-0.95,0.28,-3.83,-3.77,1.07
0.20,-0.95,0.28,-4.27,-0.14,1.39
0.21,-0.94,0.29,-4.21,3.04,1.16
0.21,-0.94,0.28,-4.09,3.24,0.95
0.21,-0.94,0.28,-3.25,1.37,0.79
0.21,-0.94,0.27,-2.12,-1.51,0.67
0.21,-0.94,0.27,-1.13,-3.86,1.27
0.21,-0.94,0.28,-1.30,-4.79,1.79
0.21,-0.94,0.29,-2.21,-3.36,2.18
0.21,-0.94,0.29,-2.61,-1.71,2.18
0.20,-0.94,0.27,-2.73,-1.11,2.29
0.21,-0.95,0.28,-2.93,-1.79,2.61
0.20,-0.95,0.29,-2.64,-2.67,2.55
0.20,-0.96,0.28,-2.63,-3.33,1.80
0.20,-0.96,0.27,-2.40,-3.73,1.05
0.21,-0.96,0.28,-2.09,-3.91,0.73
0.19,-0.96,0.28,-1.73,-3.11,0.41
0.20,-0.96,0.28,-1.76,-2.72,0.00
0.20,-0.95,0.27,-1.59,-2.29,-0.38
0.20,-0.96,0.27,-1.68,-2.35,-0.31
0.20,-0.95,0.27,-1.86,-1.79,-0.43
0.21,-0.95,0.26,-2.55,-1.19,-0.73
0.20,-0.95,0.27,-2.40,-0.31,-0.15
0.20,-0.95,0.27,-2.21,0.95,-0.58
0.20,-0.95,0.27,-2.24,2.37,-0.93
0.20,-0.95,0.27,-2.00,3.10,-1.76
0.20,-0.95,0.27,-1.27,2.69,-1.54
0.20,-0.95,0.27,-1.05,1.39,-1.22
0.21,-0.95,0.27,-0.93,0.85,-1.18
0.20,-0.95,0.27,-1.27,0.89,-1.37
0.21,-0.94,0.28,-1.57,1.25,-1.10
0.20,-0.95,0.28,-1.31,1.95,-1.07
0.21,-0.94,0.28,-1.60,2.34,-0.87
0.20,-0.94,0.27,-1.86,2.95,-1.13
0.22,-0.94,0.27,-1.42,3.27,-1.07
0.22,-0.94,0.28,-1.22,3.25,-1.28
0.21,-0.94,0.28,-1.08,2.64,-1.18
0.21,-0.95,0.27,-0.73,2.02,-0.87
0.21,-0.95,0.28,-0.35,1.45,-1.25
0.22,-0.95,0.29,-0.29,1.47,-1.34
0.22,-0.95,0.27,-0.44,1.42,-1.94
0.21,-0.95,0.28,-0.08,0.98,-1.71
0.21,-0.95,0.28,-0.20,0.90,-1.50
0.20,-0.94,0.29,-0.52,0.85,-2.03
0.21,-0.95,0.28,-0.35,2.38,-2.40
0.21,-0.95,0.28,-1.22,2.92,-1.97
0.22,-0.95,0.28,-1.80,2.76,-2.09
0.21,-0.95,0.29,-1.63,2.78,-1.77
0.21,-0.95,0.28,-1.51,2.87,-2.12
0.22,-0.94,0.28,-1.51,2.90,-1.86
0.22,-0.95,0.29,-1.74,2.09,-2.09
0.23,-0.93,0.27,-1.77,1.94,-2.18
0.22,-0.94,0.28,-1.21,1.56,-2.24
0.22,-0.94,0.28,-0.95,1.86,-2.70
0.21,-0.94,0.28,-0.70,1.65,-2.69
0.21,-0.94,0.29,-0.58,1.92,-2.63
0.21,-0.94,0.28,-0.44,2.44,-2.72
0.21,-0.94,0.28,-0.44,2.63,-2.31
0.22,-0.95,0.28,-0.40,2.73,-2.69
0.22,-0.95,0.27,0.11,3.01,-3.08
0.22,-0.95,0.28,-0.14,3.11,-2.99
0.22,-0.94,0.28,-0.02,2.93,-2.72
0.22,-0.94,0.28,-0.37,3.73,-2.63
0.22,-0.94,0.27,-1.16,4.72,-2.92
0.22,-0.94,0.29,-1.28,5.68,-3.40
0.23,-0.94,0.28,-0.66,6.06,-3.63
0.22,-0.94,0.28,-0.21,6.21,-3.91
0.22,-0.94,0.28,0.08,6.58,-4.31
0.22,-0.95,0.29,0.84,6.21,-4.89
0.22,-0.94,0.28,1.47,3.24,-5.34
0.22,-0.94,0.29,2.08,-0.24,-5.24
0.21,-0.93,0.28,0.53,1.16,-5.25
0.21,-0.94,0.30,-0.27,6.14,-4.12
0.22,-0.95,0.30,-0.32,10.05,-3.28
0.23,-0.95,0.29,-1.47,10.18,-3.85
0.23,-0.95,0.31,-1.94,7.91,-4.24
0.23,-0.94,0.29,-1.16,5.34,-4.15
0.23,-0.95,0.29,-0.50,2.35,-4.24
0.23,-0.94,0.30,-0.66,1.31,-4.23
0.22,-0.94,0.30,-1.31,2.37,-4.50
0.23,-0.94,0.30,-1.59,3.83,-4.98
0.24,-0.94,0.30,-1.22,4.35,-4.34
0.23,-0.93,0.31,-2.05,3.57,-4.53
0.24,-0.94,0.30,-1.85,1.86,-3.54
