accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0.65,-0.74,0.04,-15.66,16.26,2.63
0.67,-0.75,0.16,-13.21,6.03,2.95
0.66,-0.73,0.10,-7.77,9.54,5.11
0.66,-0.74,0.06,-7.31,9.89,4.49
0.67,-0.74,0.05,-6.05,15.83,3.60
0.68,-0.74,0.05,-8.79,20.40,4.78
0.65,-0.74,0.06,-7.51,23.19,4.52
0.67,-0.75,0.04,-7.68,25.73,5.33
0.66,-0.73,0.06,-5.56,21.59,4.24
0.66,-0.73,0.07,-3.53,14.93,1.47
0.66,-0.74,0.11,-3.04,10.31,-0.47
0.65,-0.75,0.09,-3.16,9.95,-0.14
0.67,-0.74,0.08,-3.68,3.89,-1.13
0.66,-0.72,0.08,-3.07,1.05,-3.15
0.66,-0.73,0.10,-1.95,-0.72,-4.37
0.66,-0.74,0.09,-0.58,1.27,-3.92
0.66,-0.74,0.10,0.26,-0.24,-4.72
0.66,-0.75,0.09,0.09,0.12,-4.72
0.68,-0.74,0.07,-2.81,5.74,-3.54
0.67,-0.75,0.10,0.09,1.27,-5.54
0.66,-0.75,0.09,4.20,-0.60,-6.81
0.64,-0.75,0.08,4.55,0.72,-6.37
0.65,-0.75,0.08,8.85,0.75,-7.16
0.71,-0.72,0.09,20.34,-6.99,-12.98
0.61,-0.73,0.18,29.98,-13.95,-14.93
0.71,-0.75,0.05,29.54,-4.63,-12.41
0.68,-0.73,0.08,26.69,-17.40,-13.31
0.68,-0.74,0.04,11.92,-18.47,-12.63
0.66,-0.75,0.07,-1.71,-19.31,-8.67
0.64,-0.74,0.02,-14.73,-1.80,-2.00
0.66,-0.74,0.05,-17.62,-3.57,-2.81
0.67,-0.74,0.08,-17.04,-4.61,-4.47
0.67,-0.73,0.09,-12.14,-5.76,-5.79
0.66,-0.74,0.11,-11.51,-10.85,-5.13
0.66,-0.73,0.05,-19.79,-6.66,-3.19
0.68,-0.72,-0.03,-34.76,3.25,-0.12
0.67,-0.70,0.04,-24.32,18.21,-0.18
0.73,-0.69,0.15,-7.74,-7.22,-11.34
0.67,-0.68,0.10,-0.85,16.32,-13.94
0.66,-0.68,0.09,2.79,35.18,-8.98
0.72,-0.69,0.09,7.56,36.90,-10.03
0.73,-0.70,0.12,5.51,25.25,-13.08
0.69,-0.71,0.11,-0.27,12.98,-13.69
0.66,-0.72,0.11,-3.08,2.75,-13.57
0.65,-0.74,0.12,-1.54,2.99,-12.46
0.65,-0.75,0.10,2.02,9.34,-9.53
0.64,-0.75,0.09,5.24,14.55,-6.09
0.63,-0.74,0.09,5.73,17.25,-3.31
0.66,-0.72,0.07,2.29,17.05,-1.31
0.72,-0.69,0.05,-5.19,18.70,-2.92
0.76,-0.66,0.06,-8.56,23.71,-4.95
0.79,-0.63,0.08,-8.12,23.08,-8.40
0.75,-0.63,0.14,-5.04,21.66,-11.37
0.73,-0.66,0.17,-0.37,18.50,-14.58
0.69,-0.69,0.18,6.06,16.98,-16.18
0.68,-0.71,0.16,10.85,16.69,-16.82
0.69,-0.69,0.13,10.44,17.95,-16.24
0.71,-0.67,0.12,4.58,17.91,-14.50
0.73,-0.64,0.11,-2.44,16.96,-14.75
0.75,-0.63,0.15,-5.01,16.26,-15.71
0.76,-0.64,0.19,-2.66,14.79,-17.34
0.76,-0.65,0.20,4.49,15.28,-16.96
0.74,-0.69,0.20,10.82,13.71,-15.74
0.71,-0.69,0.18,14.34,11.94,-14.44
0.71,-0.70,0.15,13.28,8.31,-13.22
0.70,-0.70,0.14,8.41,5.08,-9.88
0.71,-0.69,0.14,3.50,2.75,-7.31
0.72,-0.68,0.16,-0.70,-0.52,-5.50
0.72,-0.68,0.19,-0.15,-1.45,-3.37
0.71,-0.69,0.18,4.34,-1.33,-2.67
0.72,-0.70,0.18,8.11,-2.06,-1.76
0.70,-0.70,0.17,8.08,-1.62,0.81
0.70,-0.69,0.15,4.49,-3.05,3.16
0.71,-0.69,0.14,0.67,-4.93,4.63
0.72,-0.69,0.12,-2.90,-6.58,5.24
0.75,-0.67,0.13,-5.34,-5.98,5.15
0.76,-0.66,0.12,-5.30,-5.25,3.53
0.77,-0.66,0.14,-4.63,-3.68,0.98
0.78,-0.65,0.14,-4.72,-1.74,-0.40
0.76,-0.65,0.15,-5.13,-0.81,-1.08
0.74,-0.67,0.15,-5.66,-0.27,-1.69
0.73,-0.67,0.17,-6.87,0.23,-1.74
