accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0.50,-0.17,0.93,-0.79,-0.89,-2.18
0.50,-0.17,0.93,-0.67,-0.24,-1.50
0.51,-0.17,0.92,-1.10,-0.87,-0.35
0.49,-0.16,0.92,-2.37,-2.63,0.34
0.50,-0.15,0.93,-3.53,-3.68,0.15
0.49,-0.15,0.94,-4.26,-3.18,0.17
0.50,-0.15,0.94,-4.00,-1.74,0.24
0.51,-0.16,0.93,-2.43,-0.89,-0.05
0.52,-0.15,0.93,-1.76,-0.90,0.55
0.51,-0.16,0.92,-1.13,-1.62,0.69
0.52,-0.17,0.93,-1.39,-2.70,0.93
0.52,-0.16,0.94,-2.11,-2.53,1.39
0.51,-0.16,0.92,-2.44,-2.35,1.57
0.51,-0.16,0.91,-2.09,-2.32,1.07
0.51,-0.17,0.92,-1.57,-1.79,1.07
0.50,-0.15,0.92,-1.63,-1.71,0.49
0.51,-0.15,0.93,-1.34,-1.68,-0.47
0.52,-0.16,0.92,-1.40,-0.87,-0.14
0.51,-0.17,0.91,-1.48,-0.81,0.85
0.51,-0.17,0.91,-2.47,-1.45,0.92
0.51,-0.16,0.93,-2.79,-2.05,0.79
0.51,-0.15,0.93,-2.35,-1.66,0.75
0.51,-0.15,0.93,-1.89,-0.89,0.27
0.50,-0.15,0.93,-1.73,0.06,0.02
0.51,-0.16,0.92,-1.33,0.82,0.52
0.51,-0.16,0.91,-0.72,0.08,0.64
0.51,-0.16,0.92,-0.85,-0.47,0.78
0.51,-0.16,0.92,-2.23,-1.02,1.11
0.51,-0.16,0.92,-2.76,-1.25,1.07
0.51,-0.16,0.92,-2.29,-0.47,1.25
0.50,-0.15,0.92,-2.12,-0.12,1.15
0.50,-0.16,0.93,-2.31,0.23,1.24
0.52,-0.16,0.93,-1.95,0.03,0.87
0.51,-0.15,0.92,-1.86,-0.40,0.37
0.51,-0.16,0.92,-2.00,-0.43,0.61
0.50,-0.16,0.92,-2.09,-0.26,0.95
0.51,-0.16,0.92,-1.97,0.35,0.89
0.51,-0.16,0.91,-1.69,0.38,0.93
0.51,-0.16,0.92,-2.14,0.26,0.85
0.50,-0.16,0.93,-1.98,0.35,0.96
0.50,-0.17,0.92,-1.76,0.11,0.93
0.50,-0.16,0.93,-1.86,0.61,1.18
0.51,-0.16,0.92,-1.79,1.19,0.78
0.51,-0.16,0.91,-1.92,1.37,0.67
0.51,-0.16,0.93,-1.95,0.69,0.82
0.51,-0.16,0.93,-2.11,0.67,1.22
0.51,-0.16,0.92,-2.17,1.15,1.01
0.51,-0.17,0.92,-2.26,1.30,0.75
0.51,-0.17,0.91,-1.83,1.79,1.22
0.51,-0.17,0.91,-1.69,2.11,1.53
0.50,-0.16,0.92,-2.44,1.83,1.60
0.51,-0.15,0.92,-2.61,1.73,1.65
0.49,-0.15,0.91,-2.14,0.70,1.66
0.50,-0.16,0.93,-2.47,0.32,1.88
0.50,-0.16,0.92,-2.49,0.41,1.83
0.51,-0.16,0.91,-2.23,0.21,1.59
0.51,-0.16,0.92,-1.92,0.52,1.69
0.51,-0.16,0.92,-1.68,0.85,1.24
0.50,-0.16,0.92,-1.36,0.26,0.90
0.50,-0.16,0.93,-1.19,-0.52,0.98
0.50,-0.16,0.93,-1.77,-0.90,1.05
0.50,-0.16,0.93,-2.31,-0.70,0.31
0.51,-0.17,0.92,-1.88,-0.23,0.24
0.50,-0.17,0.92,-1.54,-0.15,0.17
0.50,-0.17,0.92,-1.95,-0.95,0.60
0.51,-0.16,0.92,-1.51,-0.63,0.32
0.50,-0.16,0.92,-2.18,-0.75,0.08
0.50,-0.16,0.92,-2.52,-1.25,0.14
0.51,-0.16,0.93,-1.30,-0.60,0.05
0.51,-0.16,0.92,-1.01,0.03,0.63
0.52,-0.16,0.92,-1.62,0.67,1.91
0.50,-0.16,0.92,-1.95,-0.02,2.24
0.50,-0.16,0.92,-2.32,-1.71,1.60
0.49,-0.16,0.92,-1.98,-2.14,1.01
0.51,-0.17,0.93,-0.67,-1.11,0.06
0.50,-0.18,0.92,-0.32,0.26,-1.28
0.50,-0.18,0.92,-0.69,1.18,-0.84
0.50,-0.18,0.92,-1.53,0.31,0.20
0.50,-0.17,0.92,-2.56,-1.10,0.56
0.50,-0.16,0.93,-3.10,-2.14,0.38
0.50,-0.15,0.93,-3.62,-1.66,-0.20
0.50,-0.15,0.93,-2.84,-0.35,-0.60
0.50,-0.16,0.93,-1.51,0.67,-0.55
0.51,-0.15,0.93,-0.64,0.32,0.00
0.51,-0.16,0.92,-0.78,-0.52,0.56
0.51,-0.17,0.92,-1.48,-1.01,0.82
0.51,-0.16,0.92,-2.12,-1.36,1.08
0.51,-0.16,0.92,-2.47,-1.30,1.18
0.51,-0.16,0.92,-2.34,-1.27,0.99
0.50,-0.16,0.93,-1.69,-0.90,0.82
0.51,-0.16,0.93,-1.31,-1.33,-0.09
0.51,-0.17,0.91,-1.42,-1.02,-0.72
0.52,-0.16,0.92,-1.39,-0.78,-0.89
0.51,-0.17,0.91,-1.88,-0.47,0.02
0.50,-0.17,0.91,-2.89,-0.85,0.26
0.50,-0.16,0.92,-2.79,-1.79,0.26
0.51,-0.15,0.92,-2.02,-1.18,0.08
0.50,-0.16,0.92,-1.76,-1.27,-0.38
0.51,-0.16,0.92,-1.44,0.11,-0.40
0.50,-0.16,0.92,-1.21,0.32,0.35
0.50,-0.16,0.92,-1.66,0.05,0.90
0.50,-0.16,0.92,-2.02,-0.37,0.98
0.50,-0.17,0.92,-2.44,-0.90,1.13
0.51,-0.16,0.92,-2.82,-0.47,1.01
