accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0.17,-0.51,0.92,-1.60,-0.37,0.08
0.16,-0.51,0.92,-2.02,-0.35,-0.05
0.16,-0.51,0.91,-2.11,-0.38,-0.09
0.16,-0.50,0.92,-1.83,0.06,-0.44
0.16,-0.50,0.92,-1.82,-0.32,-0.70
0.16,-0.50,0.91,-1.62,-0.67,-0.63
0.16,-0.51,0.91,-1.76,-1.08,-0.18
0.16,-0.51,0.92,-2.17,-0.89,-0.20
0.16,-0.51,0.91,-2.17,-0.40,0.05
0.16,-0.50,0.92,-2.18,-0.52,0.12
0.16,-0.51,0.92,-1.37,-0.38,0.35
0.16,-0.51,0.92,-1.10,-0.32,0.05
0.16,-0.51,0.91,-1.60,-0.41,0.43
0.15,-0.51,0.91,-2.44,-0.75,0.93
0.16,-0.51,0.93,-2.14,-0.98,0.69
0.16,-0.50,0.92,-2.05,-0.67,0.41
0.17,-0.51,0.91,-1.65,0.06,0.21
0.17,-0.51,0.92,-1.31,-0.11,1.02
0.18,-0.51,0.92,-0.87,-1.39,1.37
0.17,-0.51,0.91,-0.72,-2.35,1.89
0.16,-0.49,0.92,-2.20,-2.61,2.17
0.15,-0.50,0.91,-1.73,-1.86,1.36
0.16,-0.50,0.91,0.14,0.46,1.01
0.16,-0.51,0.91,0.56,1.25,0.85
0.16,-0.51,0.91,0.12,0.44,1.08
0.15,-0.51,0.90,-1.18,-0.79,1.28
0.16,-0.50,0.91,-2.40,-0.12,1.48
0.15,-0.51,0.92,-3.08,0.76,1.44
0.16,-0.51,0.92,-2.67,0.90,1.10
0.16,-0.51,0.93,-2.44,0.11,0.73
0.16,-0.50,0.90,-2.66,0.46,0.67
0.16,-0.51,0.92,-2.31,0.66,0.95
0.16,-0.51,0.91,-1.94,0.18,0.76
0.17,-0.50,0.92,-1.77,-0.35,-0.12
0.17,-0.51,0.91,-1.54,-0.21,-0.44
0.16,-0.51,0.91,-1.73,-0.93,-0.17
0.16,-0.51,0.92,-2.08,-1.44,0.11
0.17,-0.51,0.93,-2.14,-1.57,0.00
0.16,-0.50,0.93,-2.40,-1.05,-0.02
0.16,-0.51,0.93,-2.14,-1.11,-0.02
0.16,-0.50,0.92,-2.11,-0.85,-0.26
0.17,-0.50,0.91,-1.74,-0.55,-0.05
0.18,-0.51,0.91,-1.02,-0.46,0.35
0.18,-0.51,0.91,-1.01,-2.55,0.96
0.16,-0.51,0.91,-3.44,-2.96,1.42
0.16,-0.50,0.91,-3.85,-2.96,0.98
0.17,-0.51,0.92,-1.63,-1.04,1.15
0.16,-0.50,0.92,-0.73,-0.76,1.08
0.16,-0.50,0.92,0.11,-0.82,1.10
0.16,-0.51,0.90,0.08,-0.87,1.31
0.16,-0.51,0.91,0.02,-0.35,1.37
0.16,-0.51,0.92,-0.87,-0.03,1.31
0.15,-0.51,0.92,-1.45,-0.78,1.05
0.16,-0.51,0.91,-1.94,-0.50,0.73
0.16,-0.50,0.91,-1.86,-0.14,0.58
0.16,-0.50,0.91,-1.30,0.38,0.49
0.16,-0.50,0.92,-1.45,0.52,0.44
0.17,-0.51,0.91,-1.50,0.37,0.15
0.16,-0.51,0.91,-1.86,0.64,0.20
0.17,-0.50,0.92,-1.85,0.31,0.09
0.17,-0.51,0.92,-1.95,0.03,0.38
0.17,-0.51,0.92,-1.56,-0.72,0.61
0.16,-0.51,0.92,-1.05,-0.92,0.92
0.16,-0.50,0.92,-0.64,-0.69,0.96
0.16,-0.50,0.92,-0.34,-0.02,1.21
0.17,-0.50,0.92,-0.85,-0.05,1.31
0.16,-0.51,0.92,-1.04,-0.85,1.21
