accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0.51,-0.19,0.93,-3.74,-2.55,0.87
0.52,-0.18,0.92,-4.40,-2.18,1.40
0.54,-0.17,0.90,-3.30,-2.82,1.02
0.54,-0.17,0.90,-2.00,-4.08,2.00
0.51,-0.18,0.91,-0.38,-4.69,2.09
0.49,-0.18,0.92,0.06,-3.91,0.44
0.52,-0.18,0.91,-0.75,-2.67,-0.78
0.54,-0.18,0.92,-1.05,-1.59,-1.18
0.54,-0.20,0.91,0.58,-0.84,-1.97
0.52,-0.20,0.91,0.63,-1.54,-0.79
0.50,-0.20,0.91,0.24,-4.05,0.32
0.52,-0.19,0.91,0.08,-4.87,1.33
0.51,-0.18,0.91,-0.95,-3.34,0.38
0.52,-0.17,0.91,-1.31,-1.80,-0.52
0.52,-0.18,0.90,-1.31,-1.66,-1.18
0.53,-0.18,0.91,-1.54,-1.57,-0.63
0.53,-0.18,0.91,-1.94,-0.96,-0.20
0.54,-0.19,0.90,-1.85,-0.92,0.00
0.53,-0.18,0.91,-1.33,-1.33,0.52
0.53,-0.18,0.91,-1.22,-1.40,0.44
0.53,-0.17,0.91,-1.60,-1.45,0.44
0.53,-0.17,0.91,-1.95,-1.27,0.46
0.52,-0.17,0.91,-1.97,-1.39,0.24
0.52,-0.19,0.91,-1.22,-1.25,-0.40
0.53,-0.18,0.90,-1.22,-0.43,-1.05
0.54,-0.18,0.91,-2.00,0.32,-1.04
0.55,-0.17,0.91,-2.43,0.05,-0.38
0.54,-0.19,0.91,-1.02,-1.45,0.93
0.53,-0.19,0.89,-1.19,-1.68,1.37
0.52,-0.17,0.90,-1.25,-2.05,1.39
0.53,-0.17,0.91,-1.37,-2.58,0.98
0.53,-0.18,0.90,-1.44,-1.07,0.23
0.52,-0.17,0.91,-0.85,-0.11,0.09
0.53,-0.18,0.89,-1.16,-0.32,0.73
0.53,-0.18,0.90,-0.96,-0.87,1.31
0.53,-0.19,0.90,-1.10,-0.61,1.37
0.52,-0.18,0.89,-1.02,-0.67,0.81
0.52,-0.18,0.90,-1.63,-0.47,1.25
0.53,-0.17,0.89,-1.88,-0.99,1.42
0.53,-0.18,0.91,-1.80,-0.87,1.47
0.53,-0.17,0.91,-1.77,-0.73,0.73
0.53,-0.18,0.91,-1.94,-0.64,0.73
0.53,-0.18,0.91,-1.85,-1.08,1.13
0.54,-0.18,0.90,-1.37,-1.04,1.40
0.53,-0.18,0.90,-1.79,-1.18,1.34
0.53,-0.17,0.91,-1.83,-1.18,0.95
0.53,-0.17,0.91,-1.11,-1.33,-1.24
0.54,-0.18,0.91,-1.54,-0.93,0.95
0.53,-0.18,0.91,-1.74,-0.82,1.24
0.53,-0.18,0.91,-1.15,-0.75,0.90
0.53,-0.18,0.90,-1.57,-0.63,0.64
