accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0.43,-0.50,0.81,-2.06,0.00,0.03
0.44,-0.50,0.80,-2.03,-0.09,0.06
0.44,-0.50,0.81,-2.14,-0.20,0.20
0.44,-0.50,0.81,-1.88,-0.72,0.15
0.43,-0.50,0.80,-1.77,-0.55,0.46
0.44,-0.50,0.81,-1.47,-0.47,0.21
0.44,-0.51,0.81,-1.56,-0.32,0.34
0.44,-0.50,0.81,-1.60,-0.11,0.11
0.45,-0.50,0.80,-1.57,0.05,-0.14
0.44,-0.51,0.80,-1.45,-0.09,0.12
0.44,-0.51,0.80,-1.68,0.23,0.14
0.44,-0.51,0.80,-2.23,0.12,0.08
0.44,-0.50,0.80,-2.60,-0.21,0.27
0.44,-0.50,0.81,-2.98,0.41,0.12
0.44,-0.51,0.81,-2.60,0.40,-0.08
0.45,-0.50,0.81,-2.35,0.11,0.46
0.44,-0.50,0.79,-2.27,-0.31,1.05
0.43,-0.50,0.81,-2.44,-0.17,1.25
0.44,-0.50,0.81,-2.90,0.82,1.05
0.44,-0.50,0.80,-2.78,1.91,1.22
0.45,-0.51,0.80,-1.42,0.82,1.37
0.46,-0.50,0.79,-0.90,-1.27,2.23
0.45,-0.51,0.81,-1.30,-2.79,3.45
0.42,-0.50,0.81,-2.03,-2.58,3.02
0.43,-0.49,0.80,-1.85,-1.73,1.10
0.45,-0.50,0.81,-0.27,-0.46,-0.41
0.44,-0.52,0.81,0.85,1.98,-0.35
0.44,-0.53,0.81,0.09,2.72,-0.12
0.44,-0.51,0.80,-1.85,0.90,0.50
0.44,-0.51,0.80,-2.81,-1.28,0.70
0.43,-0.52,0.81,-2.78,-1.82,0.43
0.43,-0.52,0.82,-3.18,0.08,0.12
0.43,-0.51,0.82,-3.01,1.95,-0.17
0.44,-0.51,0.79,-3.07,2.17,-0.18
0.44,-0.50,0.80,-3.02,1.37,-0.18
0.44,-0.50,0.81,-3.47,0.61,-0.50
0.44,-0.51,0.80,-3.63,-0.24,-0.73
0.44,-0.51,0.81,-3.07,-0.61,-0.24
0.43,-0.50,0.81,-2.49,-0.87,0.32
0.43,-0.50,0.82,-2.49,-0.67,0.64
0.43,-0.49,0.81,-2.72,-0.05,0.75
0.43,-0.50,0.81,-2.72,1.08,0.23
0.44,-0.49,0.81,-2.24,1.76,-0.08
0.46,-0.50,0.81,-0.23,1.04,0.06
0.46,-0.51,0.80,-1.16,-0.87,0.72
0.44,-0.52,0.81,-2.67,-1.62,1.30
0.43,-0.50,0.81,-2.41,-2.89,0.44
0.44,-0.50,0.81,-2.49,-2.69,-0.05
0.44,-0.50,0.82,-1.18,-1.74,-0.31
0.44,-0.50,0.81,-0.66,0.52,-0.67
0.43,-0.51,0.80,-1.05,1.04,-0.24
0.44,-0.51,0.81,-1.37,-0.03,0.14
