accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0.17,-0.95,0.29,-1.59,2.46,-1.27
0.16,-0.96,0.28,-1.62,1.31,-0.98
0.17,-0.96,0.29,-2.14,1.01,-0.32
0.17,-0.95,0.29,-2.41,2.09,0.08
0.17,-0.96,0.30,-2.76,1.57,0.12
0.17,-0.96,0.30,-2.37,-2.09,0.15
0.17,-0.94,0.29,-2.26,-5.57,0.52
0.16,-0.95,0.28,-3.18,-3.16,1.15
0.18,-0.95,0.29,-2.76,1.39,1.39
0.18,-0.95,0.29,-2.84,2.27,1.34
0.18,-0.95,0.27,-2.92,0.05,1.22
0.17,-0.95,0.29,-2.50,-2.40,1.39
0.18,-0.95,0.29,-1.45,-4.24,1.42
0.17,-0.96,0.28,-1.36,-5.30,1.51
0.16,-0.96,0.28,-1.65,-4.49,1.80
0.16,-0.96,0.28,-2.24,-1.80,1.92
0.16,-0.96,0.28,-2.15,0.87,2.08
0.16,-0.96,0.27,-1.54,1.22,1.53
0.16,-0.96,0.28,-1.63,-0.06,1.42
0.16,-0.96,0.30,-1.30,-1.30,1.18
0.16,-0.96,0.28,-1.13,-1.36,1.15
0.16,-0.96,0.29,-1.30,-1.16,0.96
0.16,-0.96,0.28,-1.73,-0.17,0.67
0.16,-0.96,0.29,-1.44,0.64,0.55
0.17,-0.96,0.28,-1.34,0.79,0.61
0.16,-0.96,0.29,-1.22,0.35,0.78
0.17,-0.95,0.27,-0.90,-0.15,0.87
0.17,-0.95,0.28,-1.05,-0.56,0.89
0.17,-0.96,0.30,-1.07,-0.12,0.82
0.16,-0.95,0.29,-0.98,-0.02,0.85
0.16,-0.96,0.29,-1.15,-0.05,0.82
0.16,-0.96,0.29,-1.24,0.27,0.79
0.16,-0.95,0.29,-1.08,0.17,0.87
0.16,-0.96,0.28,-1.07,-0.23,0.89
0.16,-0.96,0.29,-1.02,-0.60,0.76
0.16,-0.96,0.29,-1.34,-0.61,0.56
0.16,-0.96,0.28,-1.71,0.20,0.38
0.15,-0.95,0.29,-2.12,0.69,0.49
0.16,-0.96,0.28,-2.02,0.73,0.46
0.16,-0.95,0.29,-2.14,1.08,0.84
0.16,-0.96,0.29,-2.11,0.75,0.85
0.16,-0.95,0.29,-2.50,0.78,0.73
0.17,-0.96,0.29,-2.47,0.44,0.87
0.16,-0.96,0.28,-2.41,0.34,0.87
0.16,-0.95,0.28,-2.44,0.11,0.76
0.16,-0.97,0.28,-2.53,0.03,0.82
0.16,-0.95,0.29,-2.52,0.18,1.16
0.16,-0.95,0.29,-2.53,0.21,0.95
0.16,-0.96,0.29,-2.84,-0.41,0.98
0.16,-0.95,0.28,-2.75,-0.67,1.27
0.17,-0.95,0.28,-2.84,-0.98,1.27
0.16,-0.96,0.29,-3.02,-1.24,1.07
0.16,-0.95,0.28,-3.01,-1.02,1.22
0.16,-0.95,0.28,-3.04,-0.96,0.89
0.16,-0.96,0.28,-2.98,-0.44,0.92
0.16,-0.96,0.28,-3.08,-0.61,1.08
0.15,-0.96,0.29,-2.43,-0.47,0.98
0.16,-0.95,0.28,-2.41,-0.73,1.21
0.15,-0.95,0.28,-2.55,-1.53,1.45
0.16,-0.95,0.27,-2.29,-1.85,1.48
0.15,-0.96,0.28,-1.98,-1.79,1.48
0.16,-0.96,0.27,-2.09,-1.94,1.24
0.16,-0.95,0.29,-1.85,-1.57,1.28
0.16,-0.95,0.28,-1.63,-1.40,0.79
0.16,-0.95,0.27,-1.62,-1.44,0.44
0.16,-0.96,0.28,-1.28,-1.80,0.41
0.16,-0.96,0.29,-1.13,-2.31,0.23
0.16,-0.95,0.28,-1.36,-3.15,0.52
0.16,-0.95,0.28,-0.93,-2.81,0.89
0.16,-0.97,0.28,-1.11,-2.17,1.04
0.16,-0.96,0.28,-1.45,-1.57,1.45
0.16,-0.96,0.27,-1.57,-1.50,1.66
0.16,-0.96,0.27,-1.63,-2.08,1.57
0.16,-0.96,0.27,-1.79,-2.70,1.95
0.16,-0.97,0.28,-1.94,-2.64,1.59
0.16,-0.96,0.27,-2.27,-2.44,1.30
0.16,-0.96,0.27,-1.97,-2.49,1.36
0.16,-0.96,0.26,-2.12,-2.47,1.04
0.16,-0.95,0.28,-2.32,-2.43,0.78
0.16,-0.96,0.27,-2.85,-2.31,0.73
0.16,-0.96,0.28,-2.75,-3.08,0.26
0.16,-0.94,0.27,-2.05,-5.57,0.03
0.15,-0.94,0.28,-2.81,-3.73,0.27
