accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0.14,-0.96,0.28,-1.13,0.58,-3.16
0.15,-0.95,0.28,-0.82,1.11,-3.16
0.15,-0.96,0.27,-0.79,1.65,-3.27
0.15,-0.96,0.28,-1.04,1.71,-3.05
0.15,-0.96,0.28,-1.62,2.61,-2.76
0.16,-0.97,0.27,-2.15,3.77,-2.78
0.17,-0.97,0.28,-2.29,3.68,-3.11
0.16,-0.96,0.28,-2.05,0.72,-3.21
0.16,-0.95,0.29,-2.12,-0.92,-3.54
0.16,-0.96,0.28,-2.38,1.31,-2.90
0.16,-0.96,0.28,-2.40,4.18,-2.34
0.16,-0.96,0.28,-2.29,5.57,-2.31
0.17,-0.96,0.28,-2.14,4.40,-1.97
0.16,-0.97,0.28,-1.95,2.72,-1.56
0.17,-0.96,0.28,-1.44,1.08,-1.19
0.16,-0.94,0.28,-1.79,0.08,-1.21
0.16,-0.95,0.27,-2.08,0.27,-0.90
0.17,-0.95,0.28,-3.02,2.31,-0.67
0.16,-0.95,0.27,-3.15,3.85,-0.67
0.17,-0.95,0.29,-2.70,4.15,-0.82
0.17,-0.95,0.27,-2.49,3.10,-0.95
0.17,-0.96,0.27,-2.50,1.92,-0.41
0.17,-0.95,0.27,-3.16,0.90,-0.90
0.17,-0.95,0.29,-2.99,0.64,-0.63
0.17,-0.96,0.28,-2.90,0.63,-0.21
0.18,-0.96,0.28,-2.87,0.78,-0.35
0.16,-0.95,0.28,-2.73,0.72,-0.53
0.17,-0.95,0.28,-2.43,0.96,-1.13
0.17,-0.95,0.28,-1.71,0.67,-1.02
0.17,-0.96,0.27,-1.65,0.20,-1.30
0.16,-0.96,0.28,-1.57,-0.81,-1.01
0.17,-0.96,0.28,-1.11,-1.82,-0.69
0.16,-0.96,0.29,-1.62,-1.77,0.11
0.17,-0.96,0.28,-2.26,-1.05,0.60
0.17,-0.95,0.29,-2.47,-0.75,1.24
0.17,-0.96,0.28,-2.29,-0.95,1.89
0.18,-0.95,0.28,-2.34,-1.37,2.23
0.17,-0.94,0.28,-2.55,-1.91,1.77
0.17,-0.95,0.27,-2.37,-2.64,1.71
0.17,-0.96,0.28,-1.89,-3.73,1.95
0.17,-0.95,0.27,-1.53,-4.12,2.23
0.16,-0.96,0.27,-1.39,-3.50,1.98
0.16,-0.96,0.27,-1.59,-2.03,1.82
0.16,-0.95,0.27,-1.69,-1.73,1.95
0.16,-0.97,0.27,-1.59,-1.50,1.92
0.16,-0.96,0.28,-1.62,-1.63,1.74
0.16,-0.96,0.27,-1.30,-1.34,2.03
0.16,-0.96,0.28,-1.60,-1.42,1.33
0.16,-0.96,0.28,-1.92,-1.04,0.98
0.16,-0.97,0.28,-1.98,-0.53,1.07
0.15,-0.96,0.28,-2.32,-0.35,1.37
0.16,-0.96,0.28,-2.26,-0.41,1.25
0.16,-0.96,0.28,-2.20,-0.21,1.16
0.16,-0.96,0.27,-2.32,-0.23,0.85
0.15,-0.96,0.27,-2.34,-0.70,0.76
0.16,-0.96,0.27,-2.63,-0.90,0.73
0.16,-0.96,0.27,-2.50,-0.63,0.75
0.16,-0.96,0.27,-2.52,-0.44,0.70
0.16,-0.96,0.27,-2.34,-0.31,0.79
0.16,-0.96,0.26,-2.43,0.15,0.52
0.16,-0.96,0.28,-2.56,0.14,-0.17
0.16,-0.96,0.27,-2.50,0.18,0.06
0.16,-0.96,0.27,-2.38,-0.23,0.34
0.16,-0.96,0.27,-2.60,-0.76,0.58
